player,team,salary_2025_2026,position,age,points_per_game,assists_per_game,blocks_per_game,rebounds_per_game,steals_per_game,draft_year,pick_number,team_drafted_by,college,years_played,win_shares,win_shares_per_year
Marcus Smart,WAS,21586855,PG,30,9,3.2,0.3,2.1,1.1,2014,6,BOS,Oklahoma State,11,34.2,3.1090909090909093
Nikola Vučević,CHI,21481481,C,34,18.5,3.5,0.7,10,0.8,2011,16,PHI,USC,14,79.9,5.707142857142857
Dillon Brooks,PHO,21124110,SF,29,14,1.7,0.2,3.7,0.8,2017,45,HOU,Oregon,8,14.7,1.8375
Cameron Johnson,DEN,20543478,PF,28,18.8,3.4,0.4,4.3,0.9,2019,11,MIN,UNC,6,22.9,3.8166666666666664
Norman Powell,MIA,20482758,SG,31,21.8,2.1,0.2,3.1999999999999997,1.2,2015,46,MIL,UCLA,10,32.4,3.2399999999999998
Jarrett Allen,CLE,20000000,C,26,13.5,1.9,0.9,9.7,0.9,2017,22,BRK,Texas,8,66.7,8.3375
Jakob Poeltl,TOR,19500000,C,29,14.5,2.8,1.2,9.6,1.2,2016,9,TOR,Utah,9,44.2,4.911111111111111
Josh Hart,NYK,19472240,SG,29,13.6,5.9,0.4,9.6,1.5,2017,30,UTA,Villanova,8,36.7,4.5875
Jusuf Nurkić,UTA,19375000,C,30,8.9,2.3,0.7,7.8,0.8,2014,16,CHI,NA,11,33.2,3.0181818181818185
Collin Sexton,CHO,19175000,SG,26,18.4,4.2,0.1,2.8,0.7,2018,8,CLE,Alabama,7,15.8,2.257142857142857
Harrison Barnes,SAS,19000000,PF,32,12.3,1.7,0.2,3.8,0.5,2012,7,GSW,UNC,13,61.6,4.7384615384615385
Malik Monk,SAC,18797619,SG,26,17.2,5.6,0.6,3.8,0.9,2017,11,CHO,Kentucky,8,15.2,1.9
Rui Hachimura,LAL,18259259,PF,26,13.1,1.4,0.4,5,0.8,2019,9,WAS,Gonzaga,6,15.6,2.6
Alex Caruso,OKC,18102000,SG,30,7.1,2.5,0.6,2.9000000000000004,1.6,NA,NA,NA,NA,NA,NA,NA
Ivica Zubac,LAC,18102000,C,27,16.8,2.7,1.1,12.7,0.7,2016,32,LAL,NA,9,51.3,5.699999999999999
Andrew Nembhard,IND,18102000,SG,25,10,5,0.2,3.3,1.2,2022,31,IND,Gonzaga,3,6.1,2.033333333333333
Zach Collins,CHI,18080496,PF,27,6.4,1.7,0.5,4.5,0.5,2017,10,SAC,Gonzaga,7,11.9,1.7
Patrick Williams,CHI,18000000,PF,23,9,2,0.5,3.8,0.8,2020,4,CHI,Florida State,5,8.4,1.6800000000000002
Kevin Huerter,CHI,17991071,SG,26,9.9,2.3,0.3,2.9,1,2018,19,ATL,Maryland,7,19.1,2.7285714285714286
Luguentz Dort,OKC,17722222,SF,25,10.1,1.6,0.5,4.2,1.1,NA,NA,NA,NA,NA,NA,NA
Keldon Johnson,SAS,17500000,SF,25,12.7,1.6,0.3,4.9,0.6,2019,29,SAS,Kentucky,6,16.7,2.783333333333333
Grayson Allen,PHO,16875000,SG,29,10.6,2.1,0.3,3,0.8,2018,21,UTA,Duke,7,22.6,3.2285714285714286
Klay Thompson,DAL,16666667,SF,34,14,2,0.4,3.4,0.7,2011,11,GSW,Washington State,12,57.1,4.758333333333334
Bogdan Bogdanović,LAC,16020000,SG,32,10.8,2.7,0.2,2.9,0.8,2014,27,PHO,NA,8,24.8,3.1
Max Strus,CLE,15936452,SF,28,9.4,3.2,0.2,4.4,0.5,NA,NA,NA,NA,NA,NA,NA
Terance Mann,BRK,15500000,SG,28,7.7,1.8,0.2,3,0.7,2019,48,LAC,Florida State,6,21.5,3.5833333333333335
Paolo Banchero,ORL,15334769,PF,22,25.9,4.8,0.6,7.5,0.8,2022,1,ORL,Duke,3,11.1,3.6999999999999997
Onyeka Okongwu,ATL,15000000,C,24,13.4,2.3,0.9,8.9,0.9,2020,6,ATL,USC,5,24.9,4.9799999999999995
Jonathan Isaac,ORL,15000000,PF,27,5.4,0.6,1.1,4.4,0.9,2017,6,ORL,Florida State,6,14,2.3333333333333335
Isaiah Stewart,DET,15000000,C,23,6,1.7,1.4,5.5,0.4,2020,16,POR,Washington,5,15.4,3.08
Daniel Gafford,DAL,14386320,C,26,12.3,1.4,1.8,6.8,0.4,2019,38,CHI,Arkansas,6,31.1,5.183333333333334
Deni Avdija,POR,14375000,SF,24,16.9,3.9,0.5,7.2,1,2020,9,WAS,NA,5,14.7,2.94
Jordan Clarkson,UTA,14285714,SG,32,16.2,3.7,0.2,3.2,0.8,2014,46,WAS,Missouri,11,24,2.1818181818181817
P.J. Washington,DAL,14152174,PF,26,14.7,2.3,1.1,7.699999999999999,1.1,2019,12,CHO,Kentucky,6,14.8,2.466666666666667
Obi Toppin,IND,14000000,PF,26,10.5,1.6,0.4,4,0.6,2020,8,NYK,Dayton,5,16.6,3.3200000000000003
Corey Kispert,WAS,13975000,SF,25,11.6,1.7,0.2,3,0.4,2021,15,WAS,Gonzaga,4,9.3,2.325
Herbert Jones,NOP,13937574,SF,26,10.3,3.3,0.5,3.9,1.9,2021,35,NOP,Alabama,4,15.6,3.9
Austin Reaves,LAL,13937574,SG,26,20.2,5.8,0.3,4.5,1.1,NA,NA,NA,NA,NA,NA,NA
Cooper Flagg,DAL,13825920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chet Holmgren,OKC,13731368,C,22,15,2,2.2,8,0.7,2022,2,OKC,Gonzaga,2,12.1,6.05
Josh Green,CHO,13666667,SG,24,7.4,1.6,0.2,2.5,1.1,2020,18,DAL,Arizona,5,9.2,1.8399999999999999
Grant Williams,CHO,13645500,PF,26,10.4,2.3,0.8,5.1,1.1,2019,22,BOS,Tennessee,6,15.5,2.5833333333333335
Kelly Olynyk,SAS,13445122,C,33,8.7,2.9,0.4,4.699999999999999,0.8,2013,13,DAL,Gonzaga,12,46.2,3.85
Victor Wembanyama,SAS,13376880,C,21,24.3,3.7,3.8,11,1.1,2023,1,SAS,NA,2,7.5,3.75
Robert Williams,POR,13285713,C,27,5.8,1.1,1.7,6,0.7,2018,27,BOS,Texas A&M,7,23.9,3.414285714285714
Zaccharie Risacher,ATL,13197720,SF,19,12.6,1.2,0.5,3.5,0.7,2024,1,ATL,NA,1,1.8,1.8
Cole Anthony,MEM,13100000,PG,24,9.4,2.9,0.5,3.0999999999999996,0.7,2020,15,ORL,UNC,5,11,2.2
Mitchell Robinson,NYK,12954546,C,26,5.1,0.8,1.1,6,0.9,2018,36,NYK,NA,7,35.2,5.028571428571429
Coby White,CHI,12888889,SG,24,20.4,4.5,0.2,3.6999999999999997,0.9,2019,7,CHI,UNC,6,17.9,2.983333333333333
Brandon Clarke,MEM,12500000,PF,28,8.3,1,0.6,5.1,0.8,2019,21,OKC,Gonzaga,6,24.6,4.1000000000000005
Dylan Harper,SAS,12370320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Joe,OKC,12362338,SG,25,10.2,1.6,0.1,2.7,0.6,2020,49,PHI,Arkansas,5,13.5,2.7
Jabari Smith Jr.,HOU,12350392,PF,21,12.2,1.1,0.7,7,0.4,2022,3,HOU,Auburn,3,11.7,3.9
Donte DiVincenzo,MIN,11990000,SG,28,11.7,3.6,0.3,3.7,1.2,2018,17,MIL,Villanova,7,23.9,3.414285714285714
Brandon Miller,CHO,11968800,SF,22,21,3.6,0.7,4.8,1.1,2023,2,CHO,Alabama,2,1.2,0.6
Alex Sarr,WAS,11808240,C,19,13,2.4,1.5,6.5,0.7,2024,2,WAS,NA,1,-0.3,-0.3
Moses Moody,GSW,11574075,SG,22,9.8,1.3,0.4,2.5999999999999996,0.8,2021,14,GSW,Arkansas,4,8.5,2.125
Jarred Vanderbilt,LAL,11571429,PF,25,4.1,1.1,0.3,5.1,1,2018,41,ORL,Kentucky,7,16.8,2.4
Matisse Thybulle,POR,11550000,SG,27,7.5,1.9,0.6,3.4,2.2,2019,20,BOS,Washington,6,14.1,2.35
Gabe Vincent,LAL,11500000,PG,28,6.4,1.4,0.2,1.3,0.7,NA,NA,NA,NA,NA,NA,NA
Keegan Murray,SAC,11144093,PF,24,12.4,1.4,0.9,6.699999999999999,0.8,2022,4,SAC,Iowa,3,13.9,4.633333333333334
VJ Edgecombe,PHI,11108880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke Kornet,SAS,11000000,C,29,6,1.6,1,5.300000000000001,0.5,NA,NA,NA,NA,NA,NA,NA
Isaac Okoro,CHI,11000000,SG,24,6.1,1.2,0.3,2.4,0.6,2020,5,CLE,Auburn,5,16,3.2
Aaron Nesmith,IND,11000000,SF,25,12,1.2,0.4,3.9000000000000004,0.8,2020,14,BOS,Vanderbilt,5,10.5,2.1
Maxi Kleber,LAL,11000000,PF,33,3,1.3,0.5,2.8,0.3,NA,NA,NA,NA,NA,NA,NA
Wendell Carter Jr.,ORL,10850000,C,25,9.1,2,0.6,7.2,0.8,2018,7,CHI,Duke,7,27.1,3.8714285714285714
Mike Conley,MIN,10774038,PG,37,8.2,4.5,0.2,2.6,1.1,2007,4,MEM,Ohio State,18,105.7,5.872222222222223
Scoot Henderson,POR,10748040,PG,20,12.7,5.1,0.2,3,1,2023,3,POR,NA,2,0.1,0.05
Reed Sheppard,HOU,10603560,PG,20,4.4,1.4,0.3,1.5,0.7,2024,3,HOU,Kentucky,1,0.8,0.8
Jonas Valančiūnas,DEN,10395000,C,32,10.4,2,0.6,7.7,0.5,2011,5,TOR,NA,13,84.6,6.507692307692308
T.J. McConnell,IND,10200000,PG,32,9.1,4.4,0.3,2.5,1.1,NA,NA,NA,NA,NA,NA,NA
Royce O'Neale,PHO,10125000,SF,31,9.1,2.2,0.5,4.6,0.9,NA,NA,NA,NA,NA,NA,NA
Jaden Ivey,DET,10107163,SG,22,17.6,4,0.4,4.1,0.9,2022,5,DET,Purdue,3,1.6,0.5333333333333333
Sam Hauser,BOS,10044644,PF,27,8.5,0.9,0.2,3.1,0.6,NA,NA,NA,NA,NA,NA,NA
Kon Knueppel,CHO,10015680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Jones Jr.,LAC,10000000,SF,27,10.1,0.8,0.4,3.4000000000000004,1,NA,NA,NA,NA,NA,NA,NA
Lonzo Ball,CLE,10000000,PG,27,7.6,3.3,0.5,3.4000000000000004,1.3,2017,2,LAL,UCLA,6,12.6,2.1
Duncan Robinson,MIA,9888000,SF,30,11,2.4,0.1,2.2,0.5,NA,NA,NA,NA,NA,NA,NA
Amen Thompson,HOU,9690600,SF,22,14.1,3.8,1.3,8.2,1.4,2023,4,HOU,NA,2,12.3,6.15
Aaron Wiggins,OKC,9672897,SG,26,12,1.8,0.2,3.9,0.8,2021,55,OKC,Maryland,4,12.9,3.225
Caleb Martin,DAL,9594044,SF,29,7.9,2.1,0.5,4,1,NA,NA,NA,NA,NA,NA,NA
Stephon Castle,SAS,9560520,PG,20,14.7,4.1,0.3,3.7,0.9,2024,4,SAS,UConn,1,1.1,1.1
